Name Lat Lon S-SSE_trem_N S-SSE_trem_E S-SSE_trem_U std_S-SSE_trem_N std_S-SSE_trem_E std_S-SSE_trem_U L-SSE_trem_N L-SSE_trem_E L-SSE_trem_U std_L-SSE_trem_N std_L-SSE_trem_E std_L-SSE_trem_U L-SSE_inter_N L-SSE_inter_E L-SSE_inter_U std_L-SSE_inter_N std_L-SSE_inter_E std_L-SSE_inter_U Inter-Seismic_1_N Inter-Seismic_1_E Inter-Seismic_1_U std_Inter-Seismic_1_N std_Inter-Seismic_1_E std_Inter-Seismic_1_U Inter-Seismic_2_N Inter-Seismic_2_E Inter-Seismic_2_U std_Inter-Seismic_2_N std_Inter-Seismic_2_E std_Inter-Seismic_2_U
ACAP 16.822253 -99.856930 -0.011115 0.000182 61.577390 0.014108 0.004708 42.621903 -0.015022 -0.015839 25.679383 0.010547 0.007120 17.082973 -0.000220 -0.024750 25.679383 0.007120 0.007485 17.082973 0.010936 0.015832 -0.010989 0.002457 0.002891 0.005879 0.010870 0.017310 -0.030144 0.004708 0.003965 0.012870 
ACYA 16.837972 -99.902980 -0.013380 -0.016342 12.240517 0.008953 0.002766 33.279089 -0.000517 -0.029645 24.748282 0.006921 0.005156 11.054128 -0.002012 -0.033308 24.748282 0.005156 0.005068 11.054128 0.008507 0.020806 -0.011259 0.004704 0.004635 0.007150 0.012512 0.023424 -0.017700 0.002766 0.002318 0.008216 
ARIG 18.280492 -100.347480 -0.016903 -0.010310 45.000539 0.013449 0.005116 47.069038 -0.017412 -0.055511 -2.328747 0.011242 0.007890 25.306878 -0.014013 -0.017816 -2.328747 0.007890 0.008902 25.306878 0.007305 0.011518 0.008069 0.003202 0.004136 0.011938 0.009549 0.015203 0.002057 0.005116 0.003733 0.013039 
AYUT 16.987752 -99.145298 -0.002218 -0.016788 48.366382 0.009209 0.003118 32.326721 -0.015148 -0.038454 27.577142 0.012251 0.006440 19.394448 -0.017646 -0.043180 27.577142 0.006440 0.008538 19.394448 0.014409 0.024373 -0.004914 0.002309 0.003056 0.007286 0.011286 0.029425 -0.014035 0.003118 0.002828 0.009914 
CAYA 17.048512 -100.267253 -0.014133 -0.017132 37.500797 0.007495 0.002461 25.493880 -0.030032 -0.092808 51.638720 0.010268 0.006335 13.132534 -0.033284 -0.038023 51.638720 0.006335 0.007352 13.132534 0.016792 0.019287 -0.012368 0.005490 0.008232 0.010902 0.020702 0.024824 -0.021145 0.002461 0.001941 0.006206 
COYU 17.008365 -100.081053 -0.020027 -0.019358 -51.233739 0.007627 0.002190 33.715556 -0.010623 -0.062040 58.274390 0.010230 0.008311 25.128257 -0.023508 -0.069018 58.274390 0.008311 0.007852 25.128257 0.009551 0.018160 -0.008793 0.003291 0.003785 0.010020 0.011362 0.025241 0.006393 0.002190 0.001977 0.008356 
CPDP 16.777709 -99.629604 -0.012730 -0.011971 7.985027 0.006911 0.001826 24.159566 -0.003669 -0.026084 -4.159853 0.006588 0.004197 12.972829 -0.008022 -0.033326 -4.159853 0.004197 0.004759 12.972829 0.011968 0.018091 -0.008925 0.002696 0.003449 0.008773 0.014722 0.021596 -0.017819 0.001826 0.001769 0.006381 
DOAP 17.021175 -99.650686 --- --- --- --- --- --- 0.000757 -0.012986 31.708079 0.015914 0.013088 26.927423 0.007161 -0.015694 31.708079 0.013088 0.014297 26.927423 --- --- --- --- --- --- --- --- --- --- --- --- 
DOAR 17.021139 -99.650740 -0.003245 -0.007221 -1.904244 0.009721 0.002740 31.935429 -0.021702 -0.042967 23.150642 0.013581 0.008176 29.899513 -0.014677 -0.041568 23.150642 0.008176 0.010713 29.899513 0.010184 0.020732 -0.009795 0.005595 0.004136 0.011669 0.011164 0.021361 -0.005981 0.002740 0.003051 0.008887 
ICEP 19.033024 -98.187598 -0.000506 -0.007133 10.291532 0.007530 0.002198 23.324619 -0.001534 -0.004106 -16.870117 0.006706 0.006672 19.088074 -0.005630 -0.018335 -16.870117 0.006672 0.006376 19.088074 0.002344 0.005059 0.000077 0.001893 0.002014 0.005080 0.002139 0.006534 -0.003920 0.002198 0.002062 0.006431 
