Station,Lon,Lat,VSE,VSN,_ VSE,_ VSN,VSS,_ VSS,_Tn,T1,T2
(site),_E,_N,mm/year,mm/year,mm/year,mm/year,mm/year,mm/year,_cw from N,Year,Year
ACAP,-99.857,16.822,11.64,7.99,0.02,0.05,8.1,0.04,-20.51,1999.92,2013.08
ACYA,-99.903,16.838,10.72,11.58,0.03,0.06,5.96,0.04,-20.59,2004.12,2014.28
ANIG,-104.521,21.054,0.94,1.67,0.03,0.02,-0.79,0.03,-53.97,2006.84,2014.93
ARIG,-100.344,18.281,7.86,12.63,0.05,0.06,2.43,0.05,-22.49,2009.88,2014.21
AYUT,-99.145,16.988,0.37,12.54,0.13,0.12,-3.91,0.13,-19.45,2010.34,2013.68
CALC,-102.762,18.079,7.19,11.2,0.08,0.11,1.4,0.09,-26.66,2007.94,2013.65
CAYA,-100.267,17.049,6.98,3.91,0.02,0.04,5.08,0.03,-21.35,1997.09,2014.28
CHAM,-105.045,19.498,5.11,10.07,0.03,0.03,-3.75,0.03,-46.26,2006.83,2014.72
COL2,-103.702,19.244,5.5,6.14,0.02,0.02,0.61,0.02,-37.66,2006.87,2014.97
COMI,-92.137,16.282,3.04,3.53,0.01,0.02,0.87,0.02,-30.01,2002.12,2014.91
COYB,-100.081,17.008,7.11,4.17,0.09,0.2,5.14,0.16,-21.01,2008.18,2012.62
COYU,-100.081,17.008,7.67,5.78,0.03,0.1,5.09,0.07,-21.01,2003.29,2014.23
CPDP,-99.628,16.776,11.92,11.71,0.03,0.05,7.17,0.04,-20.1,2003.42,2014.25
CZIG,-99.131,16.736,10.53,11.78,1.05,0.92,6.06,0.99,-19.25,2009.87,2010.3
DEMA,-99.035,20.3,1.41,1.76,0.01,0.01,0.65,0.01,-22.02,2003.87,2014.95
DOAP,-99.651,17.021,8.84,9.35,0.06,0.11,5.04,0.09,-20.32,2004.41,2011.92
DOAR,-99.651,17.021,8.56,9.78,0.03,0.06,4.64,0.05,-20.32,2003.23,2013.43
HUAT,-96.108,15.769,12.23,16.03,0.01,0.01,10.53,0.01,-5.88,2000.57,2014.32
